Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ARFIP1	28.5487	27.2285	27.9186	33.6056	27.9186	28.5487	31.0368	38.0781	19.5341	20.4501	30.8882	13.5867	21.1147
ARG2	70.8201	68.0131	28.6366	31.9808	28.6366	70.8201	58.9102	74.7289	6.42702	6.27192	54.1304	43.5935	20.7918
ARHGAP15	1.17567	1.03878	1.08062	1	1.08062	1.17567	1.1337	1.16079	4.35015	6.74562	1.07548	12.639	2.36253
ARHGAP17	27.1562	25.6209	31.0886	28.9548	31.0886	27.1562	23.9095	25.2992	26.2061	37.4594	23.4711	33.8327	18.5995
ARHGAP24	1.1579	1.06337	14.8752	18.6908	14.8752	1.1579	10.7533	15.3121	3.58998	2.22185	9.11347	3.525	3.85363
ARHGAP25	1.78133	1.79128	1.25301	1.14625	1.25301	1.78133	1.7822	1.49542	1.84489	1.99672	1.73225	6.86511	2.94635
ARHGAP29	1.9501	2.24477	12.1615	14.4274	12.1615	1.9501	8.85521	8.60778	4.01143	2.7248	10.5671	1.53854	4.73424
ARHGAP44	7.33706	6.96718	3.75372	2.90614	3.75372	7.33706	3.66813	3.60399	4.56769	1.88259	3.94012	7.82094	10.0851
ARHGAP5	17.2607	18.3514	24.5373	26.9947	24.5373	17.2607	19.2787	21.4408	17.1793	19.1699	19.6332	16.5762	10.6494
ARHGAP5-AS1	2.67399	3.23941	3.38634	2.37633	3.38634	2.67399	2.49608	2.85721	5.23069	5.73481	2.79818	8.86535	7.8082
ARHGDIA	20.0029	20.3076	48.5842	28.778	48.5842	20.0029	27.3855	18.217	83.7605	87.7615	30.6174	388.597	215.917
ARHGEF10L	4.33637	4.05914	2.8696	1.48075	2.8696	4.33637	2.71677	1.83815	42.4253	42.3502	3.14089	4.85054	30.8995
ARHGEF16	3.06393	2.98756	10.5189	3.77394	10.5189	3.06393	1.71228	1.40746	18.432	24.9822	2.02158	103.94	19.1514
ARHGEF3	3.27687	3.72851	6.1313	6.18127	6.1313	3.27687	4.46587	4.51326	8.37507	3.32602	5.90942	4.89194	8.19511
ARHGEF33	1.2665	1.29413	1.21405	1.24737	1.21405	1.2665	1.10142	1.06098	1.21466	1.16068	1.02863	1	1.05833
ARHGEF34P	1.19894	1.28173	1.54168	1.17554	1.54168	1.19894	1.12994	1.05001	1.52905	2.17258	1.10101	2.20171	1.29008
ARHGEF38	1.40569	1.2985	1.38194	1.38622	1.38194	1.40569	1.81153	1.83788	6.37866	10.4737	1.80454	1.68601	3.62386
ARID5B	1.25631	1.27717	2.43349	1.89206	2.43349	1.25631	4.49638	4.56996	14.6906	13.1654	4.68212	3.1121	13.4181
ARL1	34.6779	36.0226	30.7788	35.6483	30.7788	34.6779	45.8187	50.5234	33.9149	37.3353	43.2284	15.0038	27.3772
ARL14EP	22.1416	20.9833	12.7685	15.6966	12.7685	22.1416	24.4992	30.1859	12.2274	14.4774	24.4595	11.7863	8.71147
