Gene     RPKM    
ASB15               0

MAST4               2.36182

ARHGAP15            4.70773

CFHR2               0

SLC35E3             0.981694

SERF1A              0

TIAM2               11.2716

GRK5                27.8286

IDH1                202.18

KLRC3               0.829631

IL4R                22.0319

CSPP1               6.14752

MIR551B             0

WDR83               9.74753

RACGAP1             7.59117

MIR448              0

ERO1LB              3.77963

CDH2                0.558927

LOC100132735        0

C6orf211            20.7585

OR2A1               0

MIR30D              0

DST                 10.6193

MIR2054             0

FAM178A             4.16492

GPR89A              6.67965

RNF148              1.13516

TOP1P1              9.74435

MIR3198-1           0

KLRC1               0.446515

AIFM1               49.3102

NBPF10              0.11631

DSP                 69.2723

SNORA70B            0

PRL                 0.0448817

UGT2B4              0

IL17A               0.0223345

